prompt,contributor,comment
"Act as an expert business consultant and conduct comprehensive pricing research for [PRODUCT/SERVICE]: analyze price elasticity, competitor pricing strategies, recommended price tiers, and cite sources used.",@trend-bot,Common business prompt seen in GodOfPrompt and Claude examples — trending for startups and consultants seeking data-driven pricing.
"Act as a Market Research Specialist: summarize the latest trends in [industry], list key drivers, forecast 6–12 month implications, and provide reliable sources or references.",@trend-bot,"Shared across prompt collections (PromptAdvance, FavTutor) — trending for strategic planning and investor summaries."
"Connect several uploaded documents on [topic] and produce a unified executive summary, list of key themes, consolidated Q&A, and a short action plan.",@yzfly,From the 'awesome-claude-prompts' repo — trending because Claude's long-context and file-upload features make multi-document synthesis powerful.
"Give me 10 subject lines for an email about [topic], each under 50 characters. Vary tones (3 playful, 3 urgent, 4 straightforward) and explain which audience each tone suits.",@aihustleguy,Email optimization prompts are highly reused by marketers; featured in many Claude prompt lists for quick A/B test assets.
"Act as an interactive pricing consultant for a photography service: consider experience, costs, time, and market demand and start by asking all the questions you need to recommend three pricing packages.",@trend-bot,"Example from PromptAdvance — trending for service providers who want an iterative, question-first prompt to tailor recommendations."
A pun-derful adventure — generate original puns and wordplay for a given topic,@Anthropic,"Featured in Anthropic's Claude 3 prompt library; trending as a fun, viral creative prompt."
"Dream interpretation assistant — analyze symbols, emotions, and narratives from a user's dream",@Anthropic,From Anthropic's prompt library; popular for personal reflection and therapeutic-style conversations.
Personalized recipe generator — suggest recipes from available ingredients and dietary preferences,@tomsguide,"Highlighted by Tom's Guide (calling out Anthropic's library); widely used for practical, everyday help."
Create a 30-day content calendar for [platform] in [niche],@aihustleguy,Top marketing/content prompt from AI Hustle Guy; trending among creators for planning and scaling content.
Write a 60-second Instagram Reels script with a 5s hook and 3 points,@aihustleguy,High-demand short-video prompt—popular for makers optimizing social growth and engagement.
"Generate 10 subject lines for an email about [topic], optimized for opens",@aihustleguy,Conversion-focused prompt trending with email marketers and growth teams.
Comprehensive market segmentation analysis for [PRODUCT/SERVICE] (include segments and tailored strategies),@trend-bot,"Appears across guides (GodOfPrompt, FavTutor) and Claude 3 examples; used for strategy and planning."
"Pricing research consultant for [PRODUCT/SERVICE] — analyze price impact, competitor strategies, and cite sources",@trend-bot,Claude 3 sample prompt emphasizes citation and data-driven pricing analysis; trending for business research.
Summarize an uploaded research paper into a 4-tweet thread conveying key findings,@favtutor,Listed by FavTutor as a high-value prompt for academics and communicators to amplify research.
Make Claude 'write like me' — replicate a user's writing style from examples,@yzfly,From the langgptai/awesome-claude-prompts GitHub collection (author yzfly); trending for personalization and brand voice replication.
"You are an AI assistant with a witty sense of humor and a knack for crafting clever puns and wordplay. When I give a topic, generate a list of original puns, one-liners, and playful phrases related to that topic.",@trend-bot,"From Anthropic's Claude prompt library — trending for fun, viral social posts and creative brainstorming (Tom's Guide)."
"You are an AI assistant with a deep understanding of dream symbolism. Given a dream description, analyze symbols, emotions, and narrative and offer insightful, empathetic interpretations plus reflection prompts.",@trend-bot,Popular in Anthropic's library and social sharing — users seek personalized meaning from dreams (Tom's Guide).
"Generate 3 personalized recipe ideas using only these ingredients: [list]. Respect my dietary preferences [vegan/gluten-free/etc.], include prep time, simple steps, and a shopping-minimal variant for each.",@trend-bot,High-usage prompt for practical cooking help and meal planning; highlighted in Claude prompt collections (Tom's Guide).
"Act as a futuristic fashion advisor: ask about my style, body type, and preferences, then propose 5 avant‑garde outfit concepts and provide a MidJourney prompt to visualize each look.",@trend-bot,Trending for creative branding and image‑generation workflows — Anthropic example that spurs visual AIs (Tom's Guide).
"Build a 30-day content calendar for [platform] in the [niche] space. Include 3 weekly themes, varied post types (text, carousel, video), 30 post ideas with hooks, CTAs, and a suggested posting schedule.",@trend-bot,Widely shared in marketing prompt lists — favorite for creators and CMOs to scale content (AI Hustle Guy / GodOfPrompt).
"Write a 60-second Instagram Reel script on [topic]. Start with a 5‑second hook, break into three quick points with visuals, include a short caption and a CTA to comment or share.",@trend-bot,Short‑form video scripting is trending as Reels/TikTok dominate engagement; common in Claude content stacks (AI Hustle Guy).
"Write a 7‑tweet Twitter/X thread on [topic] that opens with a curiosity hook, uses punchy lines and two examples/analogies, and ends with a clear CTA to follow or subscribe.",@trend-bot,Thread-writing prompts are viral for thought leadership and growth hacking; frequent in Claude prompt roundups (FavTutor / AI Hustle Guy).
"Give me 10 scroll‑stopping hook ideas under 15 words for a post about [topic]. Use curiosity, urgency, relief, or social proof as triggers and label each with the primary emotional hook used.",@trend-bot,High-conversion prompt for copywriters and ad testers; featured across marketing prompt guides (AI Hustle Guy).
"Act as an interactive consultant to develop a pricing strategy for my [product/service]. Consider costs, market positioning, and competitors; start by asking all clarifying questions and then propose tiered pricing options.",@trend-bot,From PromptAdvance & business prompt lists — trending among solopreneurs and PMs for rapid pricing research and interactive planning.
"Act as an expert editor. Improve the provided text for clarity, tone, and conciseness; show a cleaned rewrite plus a short changelog of edits and style choices.",@yzfly,Sourced from the 'awesome-claude-prompts' GitHub collection (yzfly). Popular for fast editorial workflows and content polishing.
"Build a 30-day content calendar for [platform] in the [niche] space. Include 3 themes per week, vary post types (text, carousel, video, story), and provide hooks, captions, and CTAs for each day.",@aihustleguy,High-performing content workflows from AI Hustle Guy; trending for consistent creator output.
"Write a 60-second Instagram Reel script on [topic] with a 5-second hook, three digestible points, suggested visuals, and a closing CTA.",@aihustleguy,Short-form video scripts are in demand for rapid engagement and platform optimization.
"Create a marketing campaign brief for [product]: define target audience, messaging hierarchy, channel plan, timeline, KPIs, and A/B test ideas.",@godofprompt,Commonly cited in GodOfPrompt guides as a go-to for campaign planning with Claude.
"Act as an expert business consultant and conduct comprehensive pricing research for [PRODUCT/SERVICE]; analyze competitor pricing, demand elasticity, and recommend price tiers with citations.",@trend-bot,Inspired by Claude system prompt examples; trending for product launches and pricing strategy.
"Summarize these five user interview transcripts and map key pain points into lifecycle email campaign ideas with triggers, segments, and sample copy.",@customerio,From Customer.io examples — popular for building behavior-driven lifecycle campaigns using Claude.
"Given this dataset [attach], generate a Python EDA script that includes data loading, cleaning, visualizations, statistical tests, and a concise insights summary.",@favtutor,FavTutor-style prompt — widely used by analysts to automate reproducible exploratory data analysis.
"Analyze our recent social media comments [paste posts] and produce themes, sentiment breakdown, influencer mentions, and five ready-to-post empathetic responses.",@trend-bot,Feeds off FavTutor and community examples; trending for handling viral complaints and community management.
"Give 10 email subject lines for an email about [topic], each under 50 characters; include 3 playful, 3 urgent, and 4 straightforward options optimized for mobile.",@aihustleguy,Subject-line generation is a high-ROI prompt from the content stacks circulating online.
"Suggest five logo concept briefs for [company]: visual description, color palette, rationale, and suggested font pairings for each concept.",@promptadvance,Design and branding prompt popular on prompt libraries like PromptAdvance for quick creative iterations.
"Act as a market research specialist: summarize the latest trends in [industry], cite reputable sources, and recommend three growth opportunities with data-backed rationale.",@trend-bot,Broad research prompt appearing across godofprompt and PromptAdvance lists — trending for strategic planning.
"Analyze the top trending topics in [industry] over the past 30 days. Identify 5 specific content gaps where search volume is high but quality content is limited. For each gap, suggest a headline, 5 key points to cover, and target keywords to pursue.",@trend-bot,"From AIrops — trending for SEO/content teams hunting timely, high-opportunity topics."
"You are a seasoned entrepreneur. Analyze this product idea: [product description]. Validate the market opportunity, identify key risks and challenges, and provide a step-by-step go-to-market and revenue plan with timelines and KPIs.",@trend-bot,Inspired by godofprompt.ai examples — popular for founders seeking end-to-end startup guidance.
"Create a content brief for a 2000-word article on [topic]: include audience profile, headline options, detailed outline, key takeaways, suggested references, and primary/secondary SEO keywords.",@trend-bot,"FavTutor-recommended — trending among writers and agencies for consistent, SEO-ready briefs."
"Develop a machine learning pipeline for a [classification/regression] problem using this dataset: [description or attachment]. Provide data preprocessing steps, feature engineering ideas, 3 model options with pros/cons, hyperparameter tuning plan, and evaluation metrics.",@trend-bot,From FavTutor — widely used by data practitioners to bootstrap ML projects and reproducible pipelines.
"Analyze a sample of my writing (paste text) and then write a 500-word article on [topic] matching my tone, vocabulary, sentence length, and signature phrases. Also produce a short style guide describing my voice and common patterns to reuse.",@yzfly,"From langgptai/awesome-claude-prompts (author yzfly) — trending for creators who want a consistent, automatable voice."
"Can you find users who viewed the pricing page in the last 30 days, have engagement_score < 3, and didn’t receive our June trial offer email? Name the segment 'Warm but wobbly' and output the exact segment filters and sample SQL/segment logic.",@trend-bot,Customer.io example — trending for marketers using Claude to build precise data-driven segments.
"Tell me about this user: summarize their profile attributes, events, features adopted, recent campaign exposure, and recommend 3 next-best actions and an email draft for re-engagement.",@trend-bot,Customer.io prompt — popular for personalized outreach and prep for interviews or sales calls.
"Summarize this uploaded research paper into a thread of 4 tweets that effectively convey the key findings, one-line takeaway per tweet, and suggested hashtags and a 280-character summary.",@trend-bot,FavTutor-sourced — trending for academics and PR teams converting long research into social snippets.
"Use Claude's long-context ability: ingest these documents [list files] and produce a consolidated executive summary, common themes, conflicting findings, prioritized recommendations, and a 1-page board-ready brief.",@trend-bot,"Reflects Claude's large-context strength cited across sources — trending for complex research, legal, and enterprise use."
"Act as an interactive pricing consultant for my photography service. Ask clarifying questions, estimate costs/time, benchmark competitors, then propose 3 tiered packages with pricing rationale and launch suggestions.",@trend-bot,"From PromptAdvance examples — trending among freelancers and solopreneurs who need interactive, personalized business advice."
"Analyze a novel product or service idea and provide guidance on how to turn it into a successful startup. Validate the market opportunity, identify key risks and challenges, and provide step-by-step advice for going from idea to revenue.",@godofprompt,From GodOfPrompt collections — trending with founders for investor‑ready validation and go‑to‑market planning.
"Build a 30-day content calendar for [platform] in the [niche] space. Include 3 themes per week, varied post types, and focused hooks for each post.",@aihustleguy,"High demand among creators and marketers for consistent, scalable content strategies."
"Write a 60-second Instagram Reel script on [topic] with a 5-second hook, three digestible points, and a clear CTA; keep tone conversational and visual.",@aihustleguy,Short‑form video prompts are trending as creators optimize for Reels/Shorts growth.
"Write a 7-tweet viral Twitter/X thread on [topic] that begins with a curiosity hook, uses short punchy sentences, includes two examples or analogies, and ends with a CTA to follow.",@aihustleguy,Popular for building thought leadership and rapid audience growth on X/Twitter.
"Create a Python script to perform exploratory data analysis (EDA) on the provided dataset: include data loading, cleaning, visualization, statistical summaries, and actionable insights.",@favtutor,FavTutor and technical guides push this prompt for data practitioners to bootstrap analyses.
"Summarize the uploaded research paper into a 4-tweet thread that conveys the key findings, significance, and one practical takeaway per tweet.",@favtutor,Used by researchers and communicators to distill academic work for social audiences.
"Find users who viewed the pricing page in the last 30 days, have engagement_score <3, and didn't receive our June trial email; label segment 'Warm but wobbly'.",@customerio,From Customer.io marketing prompts — trending for data‑driven segmentation and retention playbooks.
"Write a personalized win-back email for customers who purchased in the last 90 days but haven't opened an email since, using first_name and product_category attributes; make it friendly and action-oriented.",@customerio,Common lifecycle marketing prompt to recover recent customers and boost repeat purchase rates.
"Act as a market research specialist: identify three emerging trends in [industry], synthesize key problem spaces, prioritize opportunities, and propose 'How might we' innovation questions and solution concepts.",@trend-bot,General high‑utility prompt for product teams and strategists to surface actionable opportunities.
"Brainstorm 5 lead magnet ideas for [target audience] struggling with [pain point]; include title, format (checklist, mini-guide), and CTA for each.",@trend-bot,"Marketers frequently use this to create quick‑to‑produce, high‑conversion lead magnets — a common top prompt in multiple lists."
"Analyze the top trending topics in [industry] over the past 30 days. Identify 5 specific content gaps where search volume is high but quality content is limited. For each gap, suggest a headline, key points to cover, and relevant keywords to target.",@trend-bot,SEO prompt from AIrops — trending for content teams chasing timely search opportunities
"Create a 3‑year market entry plan for a digital productivity tool for remote teams. Break down 3 key competitors, audience segments by industry and team size, pricing strategy (freemium vs tiered), and 6 quarterly goals for user acquisition and feature launches.",@dora,Strategy prompt from Skywork.ai — popular with startups using Claude's long‑context planning
Make a three‑act outline for a novel about two conflicting protagonists — a rural engineer and an urban architect — who must collaborate to build a community center. Add 5 plot twists and 3 moments where cultural differences drive growth.,@dora,Creative writing example from Skywork.ai — trending among writers using Claude Desktop
"Identify 3 recent news stories or events in [industry] from the past week that are gaining search traction. For each, propose a news‑jacking content angle connecting the story to our product/service, plus a headline and outline.",@trend-bot,News‑jacking prompt from AIrops — trending for marketers seeking timely content hooks
"You are a seasoned entrepreneur. Analyze this product/service idea and provide market validation, TAM/SAM/SOM estimates, key risks and challenges, competitive landscape, and a step‑by‑step roadmap to reach first revenue.",@trend-bot,Metaprompt pattern seen in GodOfPrompt and FavTutor — trending with founders for startup validation
"Create a 5‑email customer retention sequence for customers who haven't purchased in the last [X] days. Include subject lines, preview text, personalization tokens, body copy, CTAs, timing, and KPIs to track.",@trend-bot,FavTutor marketing prompt — trending as businesses automate lifecycle email playbooks with Claude
"Summarize the uploaded research paper into a 4‑tweet thread that clearly conveys the key findings, methodology, and one actionable takeaway per tweet. Keep language concise and tweet‑ready.",@trend-bot,FavTutor example — trending for researchers and comms teams repurposing long content into social posts
"Write 3 attention‑grabbing Facebook ad copy variations for [company] promoting [product], each with a different emotional angle (FOMO, aspiration, curiosity). Include suggested headlines, primary text, and a 15‑word CTA.",@trend-bot,Ad copy prompt from FavTutor/GodOfPrompt — trending for rapid ad A/B testing
"Polish this free‑verse poem about migration: keep its emotional core, tighten line breaks, ensure each stanza ties to the theme of 'home,' and avoid overly complex words. Show before/after versions.",@dora,Poetry polisher from Skywork.ai — trending among creatives using Claude to revise and preserve voice
"Create a spec and starter implementation for a Chrome extension that prints the current page to PDF. Include manifest.json, background and content script outlines, and example JavaScript to capture and format the page.",@trend-bot,Developer prompt from YouTube prompt list — trending for prototyping browser tools with Claude
"Analyze the top trending topics in [industry] over the past 30 days. Identify 5 specific content gaps where search volume is high but quality content is limited. For each gap, suggest a headline, 5 key points to cover, and relevant keywords to target.",@airops,AiRops 'Trend Analysis' SEO prompt — trending for finding high-opportunity content ideas
"Predict the top 5 trending topics in [industry] for the upcoming [season/holiday/event] using historical search data and current market indicators. For each topic provide a content angle, target keywords, and estimated search-volume growth.",@airops,Seasonal trend prediction prompt popular for planning timely content and editorial calendars
"Identify 3 recent news stories or events in [industry] gaining search traction. For each, propose a news-jacking content angle that connects the story to our product/service, plus a headline and 5-point outline.",@airops,"News-jacking prompt used to create fast, high-visibility content tied to current events"
"Audit this webpage or paste its content and produce an SEO-optimized content brief: primary & secondary keywords, 1500–2000 word outline, meta title & description, suggested internal links, and update opportunities.",@godofprompt,Common Claude prompt from GodOfPrompt guides — trending for content optimization and refreshes
"Create a 3-year market-entry plan for a digital productivity tool for remote teams. Include competitor analysis (3 rivals), audience segments, pricing (freemium vs tiered), go-to-market channels, and six quarterly goals per year.",@skywork,From Skywork's business prompt set — trending among startups planning scaled launches
"Given this dataset (attach CSV), generate a Python EDA script that loads the data, performs cleaning, visualizes key distributions, computes summary statistics, and outputs 5 actionable insights with commented code.",@favtutor,FavTutor's data-science prompt — popular for automating repeatable EDA workflows
"Write 4 attention-grabbing Facebook ad copy variations for [company/product], each with a distinct hook, CTA, recommended audience targeting, and a suggested image/video concept to A/B test.",@godofprompt,Marketing A/B test prompt trending for paid-social experimentation and copy testing
"Using the uploaded manuscript or pasted text, produce a three-act novel outline with major beats, 5 plot twists, character arcs for two protagonists, and a scene-by-scene chapter breakdown.",@awesomeclaudeprompts,Creative-writing prompt from Awesome Claude Prompts — trending due to Claude's long-context capabilities
"Polish this poem or short creative piece: preserve the author's voice, tighten line breaks, reduce verbosity, and provide two alternate tones (more lyrical / more direct) with brief revision notes.",@skywork,Claude Desktop creative prompt — trending for writers leveraging Claude's editing and style-preservation strengths
"Generate 10 reusable Claude prompt templates for performing [task], each with example inputs, desired output format (e.g., JSON/CSV/outline), and meta-instructions for role, temperature, and context window.",@langgptai,Meta-prompt trend from langgptai repo — popular for teams standardizing prompt engineering and templates
"Create a 3-year market-entry strategy for [PRODUCT] targeting remote teams: include competitor analysis, pricing options (freemium vs tiered), audience segments, and six quarterly goals with KPIs.",@trend-bot,Popular for startups and business planning; inspired by Skywork strategy prompts.
"Make a three-act novel outline for [CONCEPT], add 5 plot twists, 3 character-growth beats, and 5 scene prompts to show rising tension.",@trend-bot,Trending with writers leveraging Claude's large context window to draft long-form plots.
"Analyze price elasticity for [PRODUCT/SERVICE] using historical sales data, determine elasticity, and recommend optimal price points in a revenue-maximizing table.",@trend-bot,Rising use in pricing strategy workflows; appears in recent Claude prompt guides.
"Act as a seasoned entrepreneur: validate this startup idea [DESCRIPTION], assess market fit, identify key risks, and provide step‑by‑step go‑to‑market actions to reach first revenue.",@trend-bot,"Widely used by founders to get structured, actionable startup advice (seen in multiple prompt roundups)."
"Given these tasks: [LIST TASKS], sort by urgency and importance (Eisenhower), then produce a time‑blocked daily schedule with 25/5 focus sessions and estimated durations.",@trend-bot,Popular productivity prompt (Task Sorter/Focus Blocks) for turning task lists into schedules.
"You are an AI assistant with a witty sense of humor: generate original puns and wordplay about [TOPIC], delivering at least 12 unique one-liners and brief setups.",@trend-bot,"From Anthropic's Claude prompt library; trending for playful, shareable outputs."
"Interpret this dream: [DREAM DESCRIPTION]. Analyze symbols, emotions, possible meanings, and ask reflective follow-up questions the user can journal on.",@trend-bot,Trending from Anthropic's 'dream' prompt — used for personal reflection and therapy-adjacent insights.
"Generate personalized recipes from these ingredients: [INGREDIENT LIST] and dietary preferences [PREFERENCES]. Provide 3 recipe options, steps, substitutions, and a shopping list.",@trend-bot,High-utility prompt from Claude libraries for home cooks and meal planning.
"Replicate my writing style: given three sample texts [PASTE SAMPLES], rewrite this text [TEXT] in my voice, match tone, sentence length, and common phrases.",@yzfly,Common entry in the 'awesome-claude-prompts' GitHub collection; trending for content creators refining voice.
"Show your chain-of-thought: explain step-by-step how you arrived at this recommendation for [PROBLEM], list assumptions, data used, alternatives considered, and the final concise plan.",@trend-bot,Users request transparent reasoning—popular for auditing AI outputs and improving trust.
"Use Claude's 200k-token context: upload a 50–100 page manuscript and revise it for consistency of character arcs, themes, and tone across chapters; provide page-by-page edit notes.",@skywork_ai,Leverages Claude Desktop's huge context window for long-form editing (source: Skywork article).
"Create a 3-year market entry plan for a digital productivity tool for remote teams: competitor analysis, audience segments, pricing (freemium vs tiered), and 6 quarterly goals.",@skywork_ai,Business planning prompt highlighted as high-value in Skywork's '20 Best' prompts.
"Build a 30-day content calendar for [platform] in the [niche] space with 3 weekly themes and varied post types (text, carousel, video, story).",@aihustleguy,Popular creator prompt from 'Top 25 Claude Prompts for Content Creation'—used to scale content production.
"Write a 60-second Instagram Reel script on [topic] with a 5-second hook, 3 digestible points, and a CTA to comment or DM.",@aihustleguy,High-demand short‑form video prompt optimized for engagement (AI Hustle Guy).
Analyze these 10 pieces of content: [paste links/text]. Identify 3 recurring themes that drove engagement and suggest 3 new content angles to double down on.,@aihustleguy,"Trending among content strategists for finding repeatable, high-performing topics."
Replicate this author's writing style: [paste sample]. Re-write a 500-word article on [topic] in that voice and explain the key stylistic features you matched.,@langgptai,From the 'awesome-claude-prompts' GitHub—widely used for brand voice cloning and content personalization.
"Act as a brainstorming genius: generate 5 innovative product ideas for [category] with USP, target audience, and go‑to‑market angle.",@promptadvance,Popular startup & product prompt from PromptAdvance's large library—used by founders for ideation.
"Polish this free‑verse poem about [theme]: keep voice and emotion, tighten line breaks, and suggest 3 alternative opening lines.",@skywork_ai,Creative-writing prompt highlighted for preserving author voice while improving craft (Skywork).
"Walk through (chain-of-thought) how you'd build a customer retention plan for a subscription box: data sources, tactics, measurement; then provide the final actionable plan.",@skywork_ai,Chain-of-thought technique recommended in Skywork to get transparent reasoning plus a concrete plan.
Summarize this uploaded research paper into a 4-tweet thread that conveys the key findings and a one-line takeaway.,@favtutor,From FavTutor's prompt list—trending for academics and PR teams who need concise social summaries.
